0,0,33843274
0,0.5,48413445
0,2,45581947
0,2.5,44365595
0,3,43446595
0,4.5,41712545
0,5,41476545
0.5,0,37066072
0.5,0.5,47656265
0,0.25,48520910
0.5,2,44702836
0.5,2.5,43583569
0.5,3,42907232
0.5,4.5,41547260
0.5,5,41359986
2,0,37200685
0,0.15,48625904
2,0.5,46321727
0,0.05,48676190
2,2,42991117
2,2.5,42397130
0,0.1,48625639
2,3,41789574
0,0.001,48253719
2,4.5,40934378
0,0.01,48675304
2,5,40836923
2.5,0,37252131
0,0.005,48505914
2.5,0.5,45984283
2.5,2,42709109
2.5,2.5,42081913
2.5,3,41663223
2.5,4.5,40883016
2.5,5,40653169
3,0,37245073
3,0.5,45640940
3,2,42582890
3,2.5,41891426
3,3,41431913
3,4.5,40751967
3,5,40608132
4.5,0,37231872
4.5,0.5,45015700
4.5,2,41980983
4.5,2.5,41529795
4.5,3,41182715
0.0001,0,36769265
0.0001,0.5,48437253
0.01,0,37339240
0.01,0.5,48326086
0.015,0,37277326
0.015,0.5,48337487
0.75,0,37092995
0.75,0.5,47403117
0.9,0,37098558
0.9,0.5,47270685
1.15,0,37142904
1.15,0.5,47032420
1.5,0,37156073
1.5,0.5,46733284
0.0001,2,45574283
0,30,39804482
0.05,0.05,47859306
0.01,-0.05,8521350
-0.01,-0.05,7433332
0,0.5,21173945
0.0001,0.15,21367945
